Subject,Run,Volume,File,HD (mm)
2160-T1,run1,vol0039,('test-GT-masks-WSU/binary/bin_mask_zpr_2160-T1_run1_vol0039.nii.gz',6.062177826
2160-T1,run1,vol0085,('test-GT-masks-WSU/binary/bin_mask_zpr_2160-T1_run1_vol0085.nii.gz',116.398024
2160-T1,run1,vol0115,('test-GT-masks-WSU/binary/bin_mask_zpr_2160-T1_run1_vol0115.nii.gz',7
2160-T1,run1,vol0230,('test-GT-masks-WSU/binary/bin_mask_zpr_2160-T1_run1_vol0230.nii.gz',8.5732141
2160-T1,run1,vol0300,('test-GT-masks-WSU/binary/bin_mask_zpr_2160-T1_run1_vol0300.nii.gz',10.5
2161-T1,run1,vol0018,('test-GT-masks-WSU/binary/bin_mask_zpr_2161-T1_run1_vol0018.nii.gz',7
2161-T1,run1,vol0045,('test-GT-masks-WSU/binary/bin_mask_zpr_2161-T1_run1_vol0045.nii.gz',8.5732141
2161-T1,run1,vol0095,('test-GT-masks-WSU/binary/bin_mask_zpr_2161-T1_run1_vol0095.nii.gz',6.062177826
2161-T1,run1,vol0190,('test-GT-masks-WSU/binary/bin_mask_zpr_2161-T1_run1_vol0190.nii.gz',4.949747468
2161-T1,run1,vol0205,('test-GT-masks-WSU/binary/bin_mask_zpr_2161-T1_run1_vol0205.nii.gz',4.949747468
2161-T1,run1,vol0220,('test-GT-masks-WSU/binary/bin_mask_zpr_2161-T1_run1_vol0220.nii.gz',7.826237921
2161-T1,run1,vol0250,('test-GT-masks-WSU/binary/bin_mask_zpr_2161-T1_run1_vol0250.nii.gz',11.06797181
2161-T1,run1,vol0260,('test-GT-masks-WSU/binary/bin_mask_zpr_2161-T1_run1_vol0260.nii.gz',7
2161-T1,run1,vol0350,('test-GT-masks-WSU/binary/bin_mask_zpr_2161-T1_run1_vol0350.nii.gz',7.826237921
2164-T1,run1,vol0105,('test-GT-masks-WSU/binary/bin_mask_zpr_2164-T1_run1_vol0105.nii.gz',7
2164-T1,run1,vol0227,('test-GT-masks-WSU/binary/bin_mask_zpr_2164-T1_run1_vol0227.nii.gz',190.1630879
2168-T1,run2,vol0024,('test-GT-masks-WSU/binary/bin_mask_zpr_2168-T1_run2_vol0024.nii.gz',7
2168-T1,run2,vol0059,('test-GT-masks-WSU/binary/bin_mask_zpr_2168-T1_run2_vol0059.nii.gz',7.826237921
2168-T1,run2,vol0140,('test-GT-masks-WSU/binary/bin_mask_zpr_2168-T1_run2_vol0140.nii.gz',10.5
2168-T1,run2,vol0231,('test-GT-masks-WSU/binary/bin_mask_zpr_2168-T1_run2_vol0231.nii.gz',7.826237921
2168-T1,run2,vol0345,('test-GT-masks-WSU/binary/bin_mask_zpr_2168-T1_run2_vol0345.nii.gz',7.826237921
2176-T1,run1,vol0045,('test-GT-masks-WSU/binary/bin_mask_zpr_2176-T1_run1_vol0045.nii.gz',7
2176-T1,run1,vol0065,('test-GT-masks-WSU/binary/bin_mask_zpr_2176-T1_run1_vol0065.nii.gz',6.062177826
2176-T1,run1,vol0085,('test-GT-masks-WSU/binary/bin_mask_zpr_2176-T1_run1_vol0085.nii.gz',7
2176-T1,run1,vol0135,('test-GT-masks-WSU/binary/bin_mask_zpr_2176-T1_run1_vol0135.nii.gz',7.826237921
2176-T1,run1,vol0200,('test-GT-masks-WSU/binary/bin_mask_zpr_2176-T1_run1_vol0200.nii.gz',7
2176-T1,run1,vol0265,('test-GT-masks-WSU/binary/bin_mask_zpr_2176-T1_run1_vol0265.nii.gz',7.826237921
2177-T2,run1,vol0185,('test-GT-masks-WSU/binary/bin_mask_zpr_2177-T2_run1_vol0185.nii.gz',7
2177-T2,run1,vol0250,('test-GT-masks-WSU/binary/bin_mask_zpr_2177-T2_run1_vol0250.nii.gz',7
2177-T2,run1,vol0315,('test-GT-masks-WSU/binary/bin_mask_zpr_2177-T2_run1_vol0315.nii.gz',7
2191-T1,run1,vol0015,('test-GT-masks-WSU/binary/bin_mask_zpr_2191-T1_run1_vol0015.nii.gz',7
2191-T1,run1,vol0030,('test-GT-masks-WSU/binary/bin_mask_zpr_2191-T1_run1_vol0030.nii.gz',7
2191-T1,run1,vol0041,('test-GT-masks-WSU/binary/bin_mask_zpr_2191-T1_run1_vol0041.nii.gz',7
2191-T1,run1,vol0234,('test-GT-masks-WSU/binary/bin_mask_zpr_2191-T1_run1_vol0234.nii.gz',10.5
2192-T1,run1,vol0016,('test-GT-masks-WSU/binary/bin_mask_zpr_2192-T1_run1_vol0016.nii.gz',10.49999746
2192-T1,run1,vol0065,('test-GT-masks-WSU/binary/bin_mask_zpr_2192-T1_run1_vol0065.nii.gz',9.899489542
