Subject,Run,Volume,File,Dice,Jaccard
2161-T1,run1,vol0095,('test-GT-masks-WSU/binary/bin_mask_zpr_2161-T1_run1_vol0095.nii.gz',0.949864864,0.904516876
2161-T1,run1,vol0190,('test-GT-masks-WSU/binary/bin_mask_zpr_2161-T1_run1_vol0190.nii.gz',0.955502093,0.914795637
2161-T1,run1,vol0205,('test-GT-masks-WSU/binary/bin_mask_zpr_2161-T1_run1_vol0205.nii.gz',0.9573313,0.918154776
2161-T1,run1,vol0220,('test-GT-masks-WSU/binary/bin_mask_zpr_2161-T1_run1_vol0220.nii.gz',0.955322206,0.914465904
2161-T1,run1,vol0250,('test-GT-masks-WSU/binary/bin_mask_zpr_2161-T1_run1_vol0250.nii.gz',0.947026134,0.899382353
2161-T1,run1,vol0260,('test-GT-masks-WSU/binary/bin_mask_zpr_2161-T1_run1_vol0260.nii.gz',0.944158316,0.894223273
2161-T1,run1,vol0350,('test-GT-masks-WSU/binary/bin_mask_zpr_2161-T1_run1_vol0350.nii.gz',0.958218932,0.919789135
2164-T1,run1,vol0105,('test-GT-masks-WSU/binary/bin_mask_zpr_2164-T1_run1_vol0105.nii.gz',0.961150467,0.925206661
2164-T1,run1,vol0227,('test-GT-masks-WSU/binary/bin_mask_zpr_2164-T1_run1_vol0227.nii.gz',0.947810709,0.900798738
2168-T1,run2,vol0024,('test-GT-masks-WSU/binary/bin_mask_zpr_2168-T1_run2_vol0024.nii.gz',0.957855999,0.91912055
2168-T1,run2,vol0059,('test-GT-masks-WSU/binary/bin_mask_zpr_2168-T1_run2_vol0059.nii.gz',0.943102896,0.892331839
2168-T1,run2,vol0140,('test-GT-masks-WSU/binary/bin_mask_zpr_2168-T1_run2_vol0140.nii.gz',0.933635116,0.87553066
2168-T1,run2,vol0231,('test-GT-masks-WSU/binary/bin_mask_zpr_2168-T1_run2_vol0231.nii.gz',0.936115563,0.879903436
2168-T1,run2,vol0345,('test-GT-masks-WSU/binary/bin_mask_zpr_2168-T1_run2_vol0345.nii.gz',0.926552415,0.863155782
2176-T1,run1,vol0045,('test-GT-masks-WSU/binary/bin_mask_zpr_2176-T1_run1_vol0045.nii.gz',0.960558712,0.924110651
2176-T1,run1,vol0065,('test-GT-masks-WSU/binary/bin_mask_zpr_2176-T1_run1_vol0065.nii.gz',0.947613239,0.900442064
2176-T1,run1,vol0085,('test-GT-masks-WSU/binary/bin_mask_zpr_2176-T1_run1_vol0085.nii.gz',0.956186593,0.916051328
2176-T1,run1,vol0135,('test-GT-masks-WSU/binary/bin_mask_zpr_2176-T1_run1_vol0135.nii.gz',0.942512393,0.891275167
2176-T1,run1,vol0200,('test-GT-masks-WSU/binary/bin_mask_zpr_2176-T1_run1_vol0200.nii.gz',0.947163641,0.899630427
2176-T1,run1,vol0265,('test-GT-masks-WSU/binary/bin_mask_zpr_2176-T1_run1_vol0265.nii.gz',0.942321837,0.890934289
2177-T2,run1,vol0185,('test-GT-masks-WSU/binary/bin_mask_zpr_2177-T2_run1_vol0185.nii.gz',0.96297574,0.928595126
2177-T2,run1,vol0250,('test-GT-masks-WSU/binary/bin_mask_zpr_2177-T2_run1_vol0250.nii.gz',0.966947615,0.936010182
2177-T2,run1,vol0315,('test-GT-masks-WSU/binary/bin_mask_zpr_2177-T2_run1_vol0315.nii.gz',0.952629507,0.909543991
2191-T1,run1,vol0015,('test-GT-masks-WSU/binary/bin_mask_zpr_2191-T1_run1_vol0015.nii.gz',0.948897243,0.902763546
2191-T1,run1,vol0030,('test-GT-masks-WSU/binary/bin_mask_zpr_2191-T1_run1_vol0030.nii.gz',0.959035575,0.921295345
2191-T1,run1,vol0041,('test-GT-masks-WSU/binary/bin_mask_zpr_2191-T1_run1_vol0041.nii.gz',0.942446053,0.891156435
2191-T1,run1,vol0234,('test-GT-masks-WSU/binary/bin_mask_zpr_2191-T1_run1_vol0234.nii.gz',0.936979294,0.881430864
2192-T1,run1,vol0016,('test-GT-masks-WSU/binary/bin_mask_zpr_2192-T1_run1_vol0016.nii.gz',0.926873207,0.863712668
